Title,Authors,Affiliations,Qualifier,Major Qualifier,Descriptor,Major Descriptor,Abstract,Journal,Language,Year,Month
Neuropsychological Profiles on the WAIS-IV of Adults With ADHD.,"['Theiling, Johanna', 'Petermann, Franz']","['University of Bremen, Germany theiling@uni-bremen.de.', 'University of Bremen, Germany.']","['standards', 'diagnosis', 'epidemiology', 'physiology']",NA,"[StringElement('Adult', attributes={'UI': 'D000328', 'MajorTopicYN': 'N'}), StringElement('Attention Deficit Disorder with Hyperactivity', attributes={'UI': 'D001289', 'MajorTopicYN': 'N'}), StringElement('Case-Control Studies', attributes={'UI': 'D016022', 'MajorTopicYN': 'N'}), StringElement('Cognition Disorders', attributes={'UI': 'D003072', 'MajorTopicYN': 'N'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Intelligence', attributes={'UI': 'D007360', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Memory Disorders', attributes={'UI': 'D008569', 'MajorTopicYN': 'N'}), StringElement('Memory, Short-Term', attributes={'UI': 'D008570', 'MajorTopicYN': 'Y'}), StringElement('Middle Aged', attributes={'UI': 'D008875', 'MajorTopicYN': 'N'}), StringElement('Neuropsychological Tests', attributes={'UI': 'D009483', 'MajorTopicYN': 'N'}), StringElement('Psychometrics', attributes={'UI': 'D011594', 'MajorTopicYN': 'N'}), StringElement('Wechsler Scales', attributes={'UI': 'D014888', 'MajorTopicYN': 'N'}), StringElement('Young Adult', attributes={'UI': 'D055815', 'MajorTopicYN': 'N'})]","[StringElement('Memory, Short-Term', attributes={'UI': 'D008570', 'MajorTopicYN': 'Y'})]",The aim of the study was to investigate the pattern of neuropsychological profiles on the Wechsler Adult Intelligence Scale-IV (WAIS-IV) for adults With ADHD relative to randomly matched controls and to assess overall intellectual ability discrepancies of the Full Scale Intelligence Quotient (FSIQ) and the General Ability Index (GAI).,Journal of attention disorders,eng,2016,Nov
Motivating employees.,"['Winland, Roger D']",[],"['organization & administration', 'methods']",NA,"[StringElement('Dental Staff', attributes={'UI': 'D003797', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'Y'}), StringElement('Personnel Management', attributes={'UI': 'D010559', 'MajorTopicYN': 'N'}), StringElement('Practice Management, Dental', attributes={'UI': 'D011215', 'MajorTopicYN': 'Y'})]","[StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'Y'}), StringElement('Practice Management, Dental', attributes={'UI': 'D011215', 'MajorTopicYN': 'Y'})]",NA,General dentistry,eng,2014,NA
Angelina's choice.,"['Goel, Nishu Singh']","['A-3 1001 1002, Loknirman Building, Ambedkar Road, Khar West, Yoga Consultant, Social Worker, Mumbai - 400 052, India.']",NA,NA,No Data,NA,"This is an opinion piece on how a celebrity's personal choice to undergo prophylactic mastectomy on discovery of an aberrant gene, when publicly promoted, carries in itself the power to influence and impact healthcare trends and decisions. When celebrities advocate causes that are universally and uniformly acceptable and indisputable as the best in the realm of healthcare and cure (e.g. no smoking), it creates well-being and awareness in society at large. But those which are personal choices made out of a repertoire of other available and effective options may, because of celebrity preference, don the mantle of a norm. They thus run the danger of being blindly replicated by others without proper awareness and knowledge of the true potential of disease, risk factors, and other existing remedial or risk-reducing measures. Society should thus be encouraged to question, debate, and understand the validity, authenticity, and reason of the choices, especially those with a medical basis. This tempering of information with intelligence and rationale and making informed choices based on facts will serve humanity as a whole.",South Asian journal of cancer,eng,2013,Oct
Cognitive approaches to emotions.,"['Oatley, Keith', 'Johnson-Laird, P N']","['Department of Applied Psychology and Human Development, University of Toronto, 252 Bloor Street West, Toronto, Canada M5S 1V6. Electronic address: keith.oatley@utoronto.ca.', 'Department of Psychology, Green Hall, Princeton University, Princeton, NJ 08540, USA.']","['physiopathology', 'physiology']",NA,"[StringElement('Brain', attributes={'UI': 'D001921', 'MajorTopicYN': 'N'}), StringElement('Cognition', attributes={'UI': 'D003071', 'MajorTopicYN': 'Y'}), StringElement('Emotions', attributes={'UI': 'D004644', 'MajorTopicYN': 'Y'}), StringElement('Empathy', attributes={'UI': 'D004645', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Literature', attributes={'UI': 'D008091', 'MajorTopicYN': 'N'}), StringElement('Mental Disorders', attributes={'UI': 'D001523', 'MajorTopicYN': 'N'}), StringElement('Models, Psychological', attributes={'UI': 'D008960', 'MajorTopicYN': 'Y'}), StringElement('Music', attributes={'UI': 'D009146', 'MajorTopicYN': 'N'}), StringElement('Thinking', attributes={'UI': 'D013850', 'MajorTopicYN': 'N'})]","[StringElement('Cognition', attributes={'UI': 'D003071', 'MajorTopicYN': 'Y'}), StringElement('Emotions', attributes={'UI': 'D004644', 'MajorTopicYN': 'Y'}), StringElement('Models, Psychological', attributes={'UI': 'D008960', 'MajorTopicYN': 'Y'})]","Cognitive approaches offer clear links between how emotions are thought about in everyday life and how they are investigated psychologically. Cognitive researchers have focused on how emotions are caused when events or other people affect concerns and on how emotions influence processes such as reasoning, memory, and attention. Three representative cognitive theories of emotion continue to develop productively: the action-readiness theory, the core-affect theory, and the communicative theory. Some principles are common to them and divergences can be resolved by future research. Recent explanations have included how emotions structure social relationships, how they function in psychological illnesses, and how they are central to music and fiction.",Trends in cognitive sciences,eng,2014,Mar
Do suicides cluster?,"['Manson, Russell', 'Lester, David', 'Gunn, John F', 'Yeh, Cynthia']","['The Richard Stockton College of New Jersey, 08205-9441, USA.', 'The Richard Stockton College of New Jersey, 08205-9441, USA.', 'Rutgers University, Camden, New Jersey, USA.', 'Touro University, USA.']",['statistics & numerical data'],NA,"[StringElement('Attitude to Death', attributes={'UI': 'D001293', 'MajorTopicYN': 'Y'}), StringElement('Cause of Death', attributes={'UI': 'D002423', 'MajorTopicYN': 'N'}), StringElement('Cluster Analysis', attributes={'UI': 'D016000', 'MajorTopicYN': 'N'}), StringElement('Cross-Cultural Comparison', attributes={'UI': 'D003431', 'MajorTopicYN': 'N'}), StringElement('Hong Kong', attributes={'UI': 'D006723', 'MajorTopicYN': 'N', 'Type': 'Geographic'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Imitative Behavior', attributes={'UI': 'D007100', 'MajorTopicYN': 'Y'}), StringElement('Incidence', attributes={'UI': 'D015994', 'MajorTopicYN': 'N'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'Y'}), StringElement('Risk Factors', attributes={'UI': 'D012307', 'MajorTopicYN': 'N'}), StringElement('Seasons', attributes={'UI': 'D012621', 'MajorTopicYN': 'N'}), StringElement('Social Environment', attributes={'UI': 'D012931', 'MajorTopicYN': 'Y'}), StringElement('Socioeconomic Factors', attributes={'UI': 'D012959', 'MajorTopicYN': 'N'}), StringElement('Suicide', attributes={'UI': 'D013405', 'MajorTopicYN': 'N'}), StringElement('United States', attributes={'UI': 'D014481', 'MajorTopicYN': 'N', 'Type': 'Geographic'})]","[StringElement('Attitude to Death', attributes={'UI': 'D001293', 'MajorTopicYN': 'Y'}), StringElement('Imitative Behavior', attributes={'UI': 'D007100', 'MajorTopicYN': 'Y'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'Y'}), StringElement('Social Environment', attributes={'UI': 'D012931', 'MajorTopicYN': 'Y'})]","Three series of suicides were examined for evidence of clustering: suicides on the Hong Kong subway (1979-1989), suicides from the Golden Gate Bridge (1999-2009), and suicides in the Wayne County Jail (1967-1992). The inter-suicide intervals were examined for their fit to a random Poisson distribution and found not to differ significantly, indicating that there was no evidence for clustering.",Omega,eng,2013,NA
Crowdsourcing applications for public health.,"['Brabham, Daren C', 'Ribisl, Kurt M', 'Kirchner, Thomas R', 'Bernhardt, Jay M']","['Annenberg School for Communication and Journalism, University of Southern California, Los Angeles, California. Electronic address: brabham@usc.edu.', 'Gillings School of Global Public Health and Lineberger Comprehensive Cancer Center, University of North Carolina, Chapel Hill, North Carolina.', 'Steven A. Schroeder National Institute for Tobacco Research and Policy Studies, Washington DC; The Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland.', 'Center for Digital Health and Wellness, University of Florida, Gainesville, Florida; Department of Health Education and Behavior, University of Florida, Gainesville, Florida.']",['methods'],NA,"[StringElement('Crowdsourcing', attributes={'UI': 'D063045', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Public Health', attributes={'UI': 'D011634', 'MajorTopicYN': 'N'})]",[],"Crowdsourcing is an online, distributed, problem-solving, and production model that uses the collective intelligence of networked communities for specific purposes. Although its use has benefited many sectors of society, it has yet to be fully realized as a method for improving public health. This paper defines the core components of crowdsourcing and proposes a framework for understanding the potential utility of crowdsourcing in the domain of public health. Four discrete crowdsourcing approaches are described (knowledge discovery and management; distributed human intelligence tasking; broadcast search; and peer-vetted creative production types) and a number of potential applications for crowdsourcing for public health science and practice are enumerated.",American journal of preventive medicine,eng,2014,Feb
A good death.,"['Kirkwood, Kenneth W']",[],[],[],"[StringElement('Attitude to Death', attributes={'UI': 'D001293', 'MajorTopicYN': 'Y'}), StringElement('Bioethics', attributes={'UI': 'D001675', 'MajorTopicYN': 'N'}), StringElement('Death', attributes={'UI': 'D003643', 'MajorTopicYN': 'Y'}), StringElement('Empathy', attributes={'UI': 'D004645', 'MajorTopicYN': 'Y'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Hospitalization', attributes={'UI': 'D006760', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Patient Participation', attributes={'UI': 'D010358', 'MajorTopicYN': 'Y'}), StringElement('Social Support', attributes={'UI': 'D012944', 'MajorTopicYN': 'N'})]","[StringElement('Attitude to Death', attributes={'UI': 'D001293', 'MajorTopicYN': 'Y'}), StringElement('Death', attributes={'UI': 'D003643', 'MajorTopicYN': 'Y'}), StringElement('Empathy', attributes={'UI': 'D004645', 'MajorTopicYN': 'Y'}), StringElement('Patient Participation', attributes={'UI': 'D010358', 'MajorTopicYN': 'Y'})]",NA,Narrative inquiry in bioethics,eng,2013,NA
A model of organisational dysfunction in the NHS.,"['Pope, Rachael']","['Manchester Business School, University of Manchester, Manchester, UK. rachael.popel@btinternet.com']",['psychology'],NA,"[StringElement('Aggression', attributes={'UI': 'D000374', 'MajorTopicYN': 'Y'}), StringElement('Antisocial Personality Disorder', attributes={'UI': 'D000987', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Interprofessional Relations', attributes={'UI': 'D007400', 'MajorTopicYN': 'N'}), StringElement('Medical Staff', attributes={'UI': 'D008503', 'MajorTopicYN': 'N'}), StringElement('Models, Theoretical', attributes={'UI': 'D008962', 'MajorTopicYN': 'Y'}), StringElement('Organizational Culture', attributes={'UI': 'D015279', 'MajorTopicYN': 'Y'}), StringElement('State Medicine', attributes={'UI': 'D013222', 'MajorTopicYN': 'Y'})]","[StringElement('Aggression', attributes={'UI': 'D000374', 'MajorTopicYN': 'Y'}), StringElement('Models, Theoretical', attributes={'UI': 'D008962', 'MajorTopicYN': 'Y'}), StringElement('Organizational Culture', attributes={'UI': 'D015279', 'MajorTopicYN': 'Y'}), StringElement('State Medicine', attributes={'UI': 'D013222', 'MajorTopicYN': 'Y'})]","This paper explores the reasons for the sometimes seemingly irrational and dysfunctional organisational behaviour within the NHS. It seeks to provide possible answers to the persistent historical problem of intimidating and negative behaviour between staff, and the sometimes inadequate organisational responses. The aim is to develop a model to explain and increase understanding of such behaviour in the NHS.",Journal of health organization and management,eng,2013,NA
Intelligence in autism.,"['Rao, Vanitha S', 'Ashok, M V']","[""Department of Psychiatry, St. John's Medical College Hospital, Bangalore, Karnataka, India."", ""Department of Psychiatry, St. John's Medical College Hospital, Bangalore, Karnataka, India.""]",NA,NA,No Data,NA,NA,Indian journal of psychological medicine,eng,2013,Oct
Empathy's blind spot.,"['Slaby, Jan']","['Institute of Philosophy, Freie Universität Berlin, Habelschwerdter Allee 30, 14195, Berlin, Germany, jan.slaby@fu-berlin.de.']",[],[],"[StringElement('Cognition', attributes={'UI': 'D003071', 'MajorTopicYN': 'N'}), StringElement('Empathy', attributes={'UI': 'D004645', 'MajorTopicYN': 'Y'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Interpersonal Relations', attributes={'UI': 'D007398', 'MajorTopicYN': 'N'}), StringElement('Personhood', attributes={'UI': 'D028723', 'MajorTopicYN': 'N'}), StringElement('Philosophy, Medical', attributes={'UI': 'D010686', 'MajorTopicYN': 'Y'})]","[StringElement('Empathy', attributes={'UI': 'D004645', 'MajorTopicYN': 'Y'}), StringElement('Philosophy, Medical', attributes={'UI': 'D010686', 'MajorTopicYN': 'Y'})]","The aim of this paper is to mount a philosophical challenge to the currently highly visible research and discourse on empathy. The notion of empathetic perspective-shifting-a conceptually demanding, high-level construal of empathy in humans that arguably captures the core meaning of the term-is criticized from the standpoint of a philosophy of normatively accountable agency. Empathy in this demanding sense fails to achieve a true understanding of the other and instead risks to impose the empathizer's self-constitutive agency upon the person empathized with. Attempts to 'simulate' human agency, or attempts to emulate its cognitive or emotional basis, will likely distort their target phenomena in profound ways. Thus, agency turns out to be empathy's blind spot. Elements of an alternative understanding of interpersonal relatedness are also discussed, focusing on aspects of 'interaction theory'. These might do some of the work that high-level constructs of empathy had been supposed to do without running into similar conceptual difficulties.","Medicine, health care, and philosophy",eng,2014,May
